provider,region_id,region_label,country,intensity_gco2e_per_kwh,year,intensity_basis,source_name,source_url,latitude,longitude
AWS,eu-north-1,Stockholm (eu-north-1),Sweden,12,2023,generation-based,EEA,https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emission-intensity-of-1,59.3293,18.0686
AWS,eu-west-3,Paris (eu-west-3),France,55,2023,generation-based,EEA,https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emission-intensity-of-1,48.8566,2.3522
AWS,eu-west-1,Dublin (eu-west-1),Ireland,295,2023,generation-based,EEA,https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emission-intensity-of-1,53.3498,-6.2603
AWS,eu-central-1,Frankfurt (eu-central-1),Germany,385,2023,generation-based,EEA,https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emission-intensity-of-1,50.1109,8.6821
AWS,eu-south-1,Milan (eu-south-1),Italy,230,2023,generation-based,EEA,https://www.eea.europa.eu/en/analysis/indicators/greenhouse-gas-emission-intensity-of-1,45.4642,9.1900
